train_dataset,test_dataset,feature_set,n_features,train_bias_level,test_bias_level,train_bias_bucket,test_bias_bucket,accuracy,precision,recall,f1,roc_auc,pr_auc,spd,eod,aaod,di,ppr_priv,ppr_unpriv,tpr_priv,tpr_unpriv,fpr_priv,fpr_unpriv,fairness_penalty
pd_v0_25,pd_v0_75,B_sem_protegido,21,0.25,0.75,baixo,medio,0.9996672642329422,0.9984312655594585,0.9998975409836065,0.9991638653311264,0.9999955745597069,0.9999853173658588,0.711874365891801,-0.00011405109489048826,0.00010536020259417788,18.60850512077591,0.04042787056647275,0.7523022364582738,1.0,0.9998859489051095,0.0005584564264373272,0.0004617871161394597,4.5801497244912985
pd_v0_25,pd_v0,B_sem_protegido,21,0.25,0.0,baixo,baixo,0.9996511847892919,0.9986760699646103,0.9998215742251223,0.9992484938032582,0.999996026454399,0.9999906294943569,-0.20303403519410562,0.0,0.0010347057555507653,0.28541390073296935,0.28412816230593185,0.08109412711182623,1.0,1.0,0.0020694115111015306,0.0,0.22966371005417174
pd_v0_25,pd_v1,B_sem_protegido,21,0.25,1.0,baixo,alto,0.9837856938082952,0.9254898353417349,0.9999337419247971,0.9612726519952864,0.9996446643458383,0.9985302903773445,0.8752173037722092,,0.003137198374714243,8045.122238970374,0.0001088020890001088,0.8753261058612093,,0.9999337419247971,0.0001088020890001088,0.003246000463714352,2681.6668644908405
pd_v0_25,gs_v0_5,C_sem_protegido,29,0.25,0.5,baixo,medio,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.999998293091338,0.9999948714358153,-0.05415185763574257,-0.0001237521656628493,6.187608283142465e-05,0.8196519484747047,0.3002630590003758,0.24611120136463324,1.0,0.9998762478343372,0.0,0.0,0.05867138435238304
pd_v0_25,gs_v0_25,C_sem_protegido,29,0.25,0.25,baixo,baixo,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.999998293091338,0.9999948714358153,-0.08951970319536301,0.0,0.0,0.7228185960551508,0.322964318389753,0.23344461519438997,1.0,1.0,0.0,0.0,0.09167527678505306
pd_v0_25,gs_v0_75,C_sem_protegido,29,0.25,0.75,baixo,medio,0.9999749186423461,0.9999708658664491,0.9999126026918371,0.9999417334304442,0.999998293091338,0.9999948714358153,0.22515561109485357,,0.0,,0.0,0.22515561109485357,,0.9998946296231253,0.0,0.0,0.11257780554742679
pd_v0_25,gs_v0,C_sem_protegido,29,0.25,0.0,baixo,baixo,0.9995409220715217,0.9975576764109115,0.9998870141608919,0.9987209870970168,0.9999965002590409,0.9999855169066374,0.0551907672169073,0.00022007042253524567,0.0002641224393088687,1.284710238256541,0.19384890250127615,0.24903966971818345,0.9997799295774648,1.0,0.0007382408774520143,0.0004300664213695226,0.08509629958382309
pd_v0_25,gs_v1,C_sem_protegido,29,0.25,1.0,baixo,alto,0.9999236687835857,0.9995539254559873,0.9999504165013884,0.9997521316676582,0.9999966968192553,0.9999866921220286,,,,,,,,,,,
pd_v0_25,pd_v0_5,C_sem_protegido,29,0.25,0.5,baixo,medio,0.9887262020006453,0.932424804451254,0.9999567604963895,0.9650107450604019,0.9999195210009537,0.9995638903309735,0.6812125365320567,-6.253517603649339e-05,0.00017498704763307854,44.5641467589325,0.015636999395434715,0.6968495359274914,1.0,0.9999374648239635,0.0,0.0002874389192296637,11.061399204422058
pd_v0_25,pd_v0_75,C_sem_protegido,29,0.25,0.75,baixo,medio,0.9999320947414168,0.9997609616172654,0.9998975409836065,0.9998292466361587,0.9999978376478945,0.999992735240629,0.7123703311474242,-0.00011405109489048826,0.00026697698952357423,18.83962787655594,0.03993190531084957,0.7523022364582738,1.0,0.9998859489051095,4.188423198279954e-05,0.0004617871161394597,4.638094808946945
